Time: 2016-11-27 11:29:53
Path of this file: /Users/kelseypeterson/lxa5/linguistica/datasets/lxa_outputs/words_to_sigtransforms.txt

System info:
=============================================
System: Darwin
Node: Kelseys-MacBook-Pro-2.local
Release: 14.5.0
Version: Darwin Kernel Version 14.5.0: Mon Jan 11 18:48:35 PST 2016; root:xnu-2782.50.2~1/RELEASE_X86_64
Machine: x86_64
Processor: i386
Python version: 3.5.2

Packages:
=============================================
Linguistica 5.1.0-dev
SciPy 0.18.1
NumPy 1.11.1
NetworkX 1.11

Linguistica parameters:
=============================================
{'keep_case': 0,
 'max_affix_length': 4,
 'max_word_tokens': 0,
 'max_word_types': 1000,
 'min_context_count': 3,
 'min_sig_count': 5,
 'min_stem_length': 4,
 'n_eigenvectors': 11,
 'n_neighbors': 9,
 'suffixing': 1}

Input file information:
=============================================
Path: /Users/kelseypeterson/lxa5/linguistica/datasets/english-cmudict.dx1
Number of word types: 63203
Number of word tokens: 1012583

Results:
=============================================
Words to sigtransforms

\begin{tabular}{lll}
\toprule
Index      & Word                 & Signature transforms \\
\midrule
1          & anthropologists      & (2)/NULL.NULL, (2)/NULL/s/s(2).NULL, cal/st/sts.sts, ical/ist/ists/y.ists \\
2          & concluded            & (2)/NULL.NULL, NULL/d/d(2)/s.NULL, de/ded/des/ding/sion/sive.ded, e/ed/es/ing.ed \\
3          & examiners            & '/NULL.NULL, 's/NULL/s/s'.NULL, NULL/d/r/r's/rs/rs'/s.NULL, e/ed/er/er's/ers/ers'/es/ing.ers \\
4          & examiners'           & '/NULL.', 's/NULL/s/s'.NULL, NULL/d/r/r's/rs/rs'/s.NULL, e/ed/er/er's/ers/ers'/es/ing.ers' \\
5          & excluded             & (2)/NULL.NULL, NULL/d/d(2)/s.NULL, de/ded/des/ding/sion/sive.ded, e/ed/es/ing.ed \\
6          & exploded             & (2)/NULL.NULL, NULL/d/d(2)/s.NULL, de/ded/des/ding/sion/sive.ded, e/ed/es/ing.ed \\
7          & handicapper          & NULL/ped/per/pers/ping/s.NULL, NULL/s.NULL, d/r/rs.r, ed/er/ers/ing.er \\
8          & handicappers         & NULL/ped/per/pers/ping/s.NULL, NULL/s.NULL, d/r/rs.rs, ed/er/ers/ing.ers \\
9          & included             & (2)/NULL.NULL, NULL/d/d(2)/s.NULL, de/ded/des/ding/sion/sive.ded, e/ed/es/ing.ed \\
10         & manufacturers        & '/NULL.NULL, 's/NULL/s/s'.NULL, NULL/d/r/r's/rs/rs'/s.NULL, e/ed/er/er's/ers/ers'/es/ing.ers \\
11         & manufacturers'       & '/NULL.', 's/NULL/s/s'.NULL, NULL/d/r/r's/rs/rs'/s.NULL, e/ed/er/er's/ers/ers'/es/ing.ers' \\
12         & persuaded            & (2)/NULL.NULL, NULL/d/d(2)/s.NULL, de/ded/des/ding/sion/sive.ded, e/ed/es/ing.ed \\
13         & shoppers             & '/NULL.NULL, 's/NULL/s/s'.NULL, NULL/d/r/r's/rs/rs'/s.NULL, e/ed/er/er's/ers/ers'/es/ing.ers \\
14         & shoppers'            & '/NULL.', 's/NULL/s/s'.NULL, NULL/d/r/r's/rs/rs'/s.NULL, e/ed/er/er's/ers/ers'/es/ing.ers' \\
15         & subscribers          & '/NULL.NULL, 's/NULL/s/s'.NULL, NULL/d/r/r's/rs/rs'/s.NULL, e/ed/er/er's/ers/ers'/es/ing.ers \\
16         & subscribers'         & '/NULL.', 's/NULL/s/s'.NULL, NULL/d/r/r's/rs/rs'/s.NULL, e/ed/er/er's/ers/ers'/es/ing.ers' \\
17         & sweeteners           & (2)/NULL.NULL, NULL/ed/er/ers/ing/s.NULL, NULL/s/s(2).NULL, d/r/rs.rs \\
18         & wrapper              & NULL/ped/per/pers/ping/s.NULL, NULL/s.NULL, d/r/rs.r, ed/er/ers/ing.er \\
19         & wrappers             & NULL/ped/per/pers/ping/s.NULL, NULL/s.NULL, d/r/rs.rs, ed/er/ers/ing.ers \\
20         & abbreviated          & (2)/NULL.NULL, NULL/d/d(2).NULL, e/ed/ion/ions.ed \\
21         & absences             & (2)/NULL.NULL, NULL/s/s(2).NULL, ce/ces/t.ces \\
22         & absolved             & (2)/NULL.NULL, (2)/NULL/d/d(2).NULL, e/e(2)/ed/ing.ed \\
23         & accumulated          & (2)/NULL.NULL, NULL/d/d(2)/s.NULL, e/ed/es/ing/ion/ive.ed \\
24         & accusations          & (2)/NULL.NULL, (2)/NULL/s/s(2).NULL, on/ons/ve.ons \\
25         & accuser              & NULL/d/r/rs/s.NULL, NULL/s.NULL, e/ed/er/ers/es/ing.er \\
26         & accusers             & NULL/d/r/rs/s.NULL, NULL/s.NULL, e/ed/er/ers/es/ing.ers \\
27         & acquirer             & NULL/d/r/rs/s.NULL, NULL/s.NULL, e/ed/er/ers/es/ing.er \\
28         & acquirers            & NULL/d/r/rs/s.NULL, NULL/s.NULL, e/ed/er/ers/es/ing.ers \\
29         & activated            & (2)/NULL.NULL, NULL/d/d(2)/s.NULL, e/ed/es/ing/ion.ed \\
30         & adoption             & NULL/ed/ing/ion/ions/ive/s.NULL, NULL/s.NULL, ng/on/ons/ve.on \\
31         & adoptions            & NULL/ed/ing/ion/ions/ive/s.NULL, NULL/s.NULL, ng/on/ons/ve.ons \\
32         & advertisers          & '/NULL.NULL, 's/NULL/s/s'.NULL, e/ed/er/er's/ers/ers'/es/ing.ers \\
33         & advertisers'         & '/NULL.', 's/NULL/s/s'.NULL, e/ed/er/er's/ers/ers'/es/ing.ers' \\
34         & advocated            & (2)/NULL.NULL, (2)/NULL/d/d(2)/s/s(2).NULL, e/e(2)/ed/es/ing.ed \\
35         & advocates            & (2)/NULL.NULL, (2)/NULL/d/d(2)/s/s(2).NULL, e/e(2)/ed/es/ing.es \\
36         & affliction           & NULL/ed/ing/ion/ions/s.NULL, NULL/s.NULL, ng/on/ons.on \\
37         & afflictions          & NULL/ed/ing/ion/ions/s.NULL, NULL/s.NULL, ng/on/ons.ons \\
38         & aggravated           & (2)/NULL.NULL, NULL/d/d(2)/s.NULL, e/ed/es/ing/ion.ed \\
39         & alienated            & (2)/NULL.NULL, NULL/d/d(2)/s.NULL, e/ed/es/ing/ion.ed \\
40         & alleviated           & (2)/NULL.NULL, NULL/d/d(2)/s.NULL, e/ed/es/ing.ed \\
41         & allocation           & NULL/s.NULL, e/ed/es/ing/ion/ions/or/ors.ion, ng/on/ons.on \\
42         & allocations          & NULL/s.NULL, e/ed/es/ing/ion/ions/or/ors.ions, ng/on/ons.ons \\
43         & allude               & NULL/d/s.NULL, de/ded/des/ding/sion/sive.de, e/ed/es/ing.e \\
44         & alluded              & NULL/d/s.NULL, de/ded/des/ding/sion/sive.ded, e/ed/es/ing.ed \\
45         & alludes              & NULL/d/s.NULL, de/ded/des/ding/sion/sive.des, e/ed/es/ing.es \\
46         & allusion             & NULL/s.NULL, de/ded/des/ding/sion/sive.sion, on/ons/ve.on \\
47         & analyzer             & NULL/d/r/rs/s.NULL, NULL/s.NULL, e/ed/er/ers/es/ing.er \\
48         & analyzers            & NULL/d/r/rs/s.NULL, NULL/s.NULL, e/ed/er/ers/es/ing.ers \\
49         & anatomical           & (2)/NULL/ly.NULL, cal/st.cal, ical/ist/y.ical \\
50         & anatomist            & (2)/NULL.NULL, cal/st.st, ical/ist/y.ist \\
51         & anecdotes            & (2)/NULL.NULL, NULL/s/s(2).NULL, al/e/es.es \\
52         & annuity(2)           & (2)/(3)/NULL.(2), 2)/3).2), ies/y/y(2).y(2) \\
53         & anthropologist       & (2)/NULL/s/s(2).NULL, cal/st/sts.st, ical/ist/ists/y.ist \\
54         & assertion            & NULL/ed/ing/ion/ions/ive/s.NULL, NULL/s.NULL, ng/on/ons/ve.on \\
55         & assertions           & NULL/ed/ing/ion/ions/ive/s.NULL, NULL/s.NULL, ng/on/ons/ve.ons \\
56         & assertive            & NULL/ed/ing/ion/ions/ive/s.NULL, NULL/ness.NULL, ng/on/ons/ve.ve \\
57         & attacker             & NULL/ed/er/ers/ing/s.NULL, NULL/s.NULL, d/r/rs.r \\
